DateTime,O2,CO2,WVP,FR,BP,RH,TempRH,Analog_1,Analog_2,Analog_3,Analog_4,Analog_5,Analog_6,Analog_7,Analog_8,Thermo_1,Thermo_2,Thermo_3,Thermo_4,DigitalOut
3/17/22 14:09:39,20.84046,6.39E-02,2.768807,209.1073,101.2439,59.66486,31.56094,2.584125,2.584245,2.584438,2.5842,2.584081,2.584385,2.584018,2.584107,-1000,-1000,-1000,-1000,0
3/17/22 14:09:40,20.84073,6.42E-02,2.769237,209.1324,101.2436,59.6702,31.56208,2.584236,2.584225,2.584426,2.584205,2.584146,2.584354,2.584008,2.584131,-1000,-1000,-1000,-1000,0
3/17/22 14:09:41,20.84065,6.33E-02,2.769147,191.3985,101.2433,59.67219,31.56092,2.584181,2.584278,2.584453,2.584318,2.584107,2.584354,2.584037,2.58413,-1000,-1000,-1000,-1000,0
3/17/22 14:09:42,20.84069,6.29E-02,2.768795,212.6259,101.2434,59.67315,31.55829,2.584206,2.584297,2.584428,2.584226,2.584073,2.584317,2.584016,2.584106,-1000,-1000,-1000,-1000,0
3/17/22 14:09:43,20.84106,6.28E-02,2.768883,188.5336,101.243,59.67179,31.55936,2.584186,2.584264,2.584327,2.584318,2.584139,2.584316,2.584014,2.584166,-1000,-1000,-1000,-1000,0
3/17/22 14:09:44,20.84096,6.34E-02,2.768666,193.9863,101.2437,59.67127,31.55813,2.584196,2.584272,2.584373,2.5842,2.584117,2.58436,2.584148,2.584127,-1000,-1000,-1000,-1000,0
3/17/22 14:09:45,20.84092,6.35E-02,2.769077,201.8307,101.2434,59.66765,31.5639,2.584174,2.584266,2.584397,2.584314,2.584115,2.584362,2.583997,2.584194,-1000,-1000,-1000,-1000,0
3/17/22 14:09:46,20.84102,6.36E-02,2.768899,199.0213,101.2435,59.66613,31.56113,2.584175,2.584207,2.584378,2.584251,2.584112,2.584365,2.583969,2.584084,-1000,-1000,-1000,-1000,0
3/17/22 14:09:47,20.84095,6.31E-02,2.768574,193.8614,101.2424,59.66594,31.55912,2.584126,2.584248,2.584367,2.584216,2.584085,2.58439,2.583969,2.584136,-1000,-1000,-1000,-1000,0
3/17/22 14:09:48,20.84115,6.34E-02,2.768469,204.2889,101.2426,59.66572,31.55878,2.584151,2.584254,2.584419,2.584241,2.584102,2.584357,2.584018,2.584156,-1000,-1000,-1000,-1000,0
3/17/22 14:09:49,20.84121,6.33E-02,2.768314,208.9371,101.242,59.66481,31.55814,2.58417,2.584213,2.584377,2.584328,2.584086,2.584399,2.584007,2.584164,-1000,-1000,-1000,-1000,0
3/17/22 14:09:50,20.84106,6.36E-02,2.767905,207.7917,101.2418,59.66184,31.55607,2.584188,2.584226,2.584414,2.584248,2.584123,2.5844,2.584024,2.584139,-1000,-1000,-1000,-1000,0
3/17/22 14:09:51,20.84112,0.0633664,2.767953,189.3171,101.2417,59.66314,31.556,2.584187,2.584204,2.584413,2.58429,2.584097,2.584384,2.584021,2.584143,-1000,-1000,-1000,-1000,0
3/17/22 14:09:52,20.84141,6.36E-02,2.768096,179.1522,101.241,59.66498,31.55653,2.584229,2.584237,2.584451,2.584241,2.584033,2.58439,2.584024,2.584163,-1000,-1000,-1000,-1000,0
3/17/22 14:09:53,20.84133,0.0634288,2.76808,189.2487,101.2414,59.66785,31.55541,2.584224,2.584214,2.584467,2.584229,2.584031,2.584383,2.584016,2.584152,-1000,-1000,-1000,-1000,0
3/17/22 14:09:54,20.84136,6.33E-02,2.768256,192.4866,101.2414,59.67186,31.55535,2.584165,2.584207,2.584525,2.584296,2.584163,2.584369,2.584082,2.584107,-1000,-1000,-1000,-1000,0
3/17/22 14:09:55,20.84114,6.30E-02,2.768689,184.8254,101.2413,59.68056,31.55554,2.584192,2.584183,2.584476,2.584239,2.584135,2.584335,2.583977,2.584057,-1000,-1000,-1000,-1000,0
3/17/22 14:09:56,20.84125,6.30E-02,2.769512,200.4576,101.2406,59.68122,31.56058,2.584172,2.584304,2.584447,2.584248,2.58415,2.584422,2.583957,2.584106,-1000,-1000,-1000,-1000,0
3/17/22 14:09:57,20.8415,6.30E-02,2.769431,219.0698,101.2397,59.68185,31.55894,2.584242,2.584262,2.584395,2.584323,2.5841,2.584344,2.583998,2.58417,-1000,-1000,-1000,-1000,0
